appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews,review_score,success,log_success,log_reviews,log_playtime
1025260,Rebirth Fantasy Online,2019-03-29,1,Retro Craftz Studio,Retro Craftz Studio,windows,0,Online Multi-Player;MMO,Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Early Access,Early Access;RPG;Indie,0,34,17,0,0,0-20000,0.0,51,0.6666666666666666,34.0,3.555348061489413,3.951243718581428,0.0
1025580,Vainglory,2019-02-13,1,Super Evil Megacorp,Super Evil Megacorp,windows;mac,0,Online Multi-Player;Cross-Platform Multiplayer;In-App Purchases,Free to Play;Strategy;Early Access,Early Access;Free to Play;MOBA,0,1211,739,0,0,200000-500000,0.0,1950,0.6210256410256411,1211.0,7.10002716662926,7.576097340623111,0.0
1025710,Real Al's Humanity Academy,2019-04-01,1,Brett Moody;Keanan Pucci;Matthew Ricci,Affinity Studios LLC,windows,0,Single-player,Action;Casual;Free to Play;Indie,Free to Play;Action;Indie,0,11,1,0,0,0-20000,0.0,12,0.9166666666666666,11.0,2.4849066497880004,2.5649493574615367,0.0
1026820,Coloring Game,2019-04-12,1,L. Stotch,L. Stotch,windows,0,Single-player;Steam Achievements;Steam Cloud,Casual;Free to Play;Indie,Casual;Free to Play;Indie,15,432,22,0,0,50000-100000,0.0,454,0.9515418502202644,432.0,6.07073772800249,6.12029741895095,0.0
1027480,Birth of a Hunter,2019-03-04,1,Alex  Tritt,Alex Tritt,windows,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Free to Play;Indie,Action;Free to Play;Indie,36,5,3,0,0,0-20000,0.0,8,0.625,5.0,1.791759469228055,2.19722457733622,0.0
1027990,Antenna Dilemma,2019-04-24,1,Goloso Games,Goloso Games,windows,0,Single-player;Steam Achievements,Adventure;Indie,Adventure;Indie;Point & Click,10,15,1,0,0,0-20000,0.0,16,0.9375,15.0,2.772588722239781,2.833213344056216,0.0
1028170,Tahko Alpine Ski,2019-02-25,1,3D Talo Finland;Joonas Suikki;Heikki Parviainen;Hemmo Tanskanen;Ville Nyyssölä,3D Talo Finland Ltd.,windows,0,Single-player,Casual;Free to Play;Simulation;Sports,Free to Play;Casual;Simulation,0,22,4,0,0,0-20000,0.0,26,0.8461538461538461,22.0,3.1354942159291497,3.295836866004329,0.0
1028750,Ultimate Logic Puzzle Collection,2019-02-28,1,Stanley Lam,Stanley Lam,windows;mac,0,Single-player;Steam Achievements;Steam Leaderboards,Casual;Free to Play;Indie,Free to Play;Casual;Indie,100,10,4,0,0,0-20000,0.0,14,0.7142857142857143,10.0,2.3978952727983707,2.70805020110221,0.0
1028860,Star Chef: Cooking & Restaurant Game,2019-04-03,1,99Games Online Pvt. Ltd.,99Games Online Pvt. Ltd.,windows,0,Single-player;Steam Achievements;In-App Purchases,Casual;Free to Play;Indie;Simulation,Free to Play;Simulation;Indie,98,8,13,0,0,0-20000,0.0,21,0.3809523809523809,8.0,2.19722457733622,3.091042453358316,0.0
1028930,It Moves,2019-02-21,1,SnowOwl,Kodama Games,windows,0,Single-player;Full controller support,Free to Play;Indie,Free to Play;Indie;Horror,0,106,14,0,0,20000-50000,0.0,120,0.8833333333333333,106.0,4.672828834461906,4.795790545596741,0.0
1029110,Trash Time,2019-03-08,1,Dalibor Bartoš,Dalibor Bartoš;TEDI Games,windows,0,Single-player;Steam Achievements,Casual,Casual;VR;VR Only,5,20,0,0,0,0-20000,0.0,20,1.0,20.0,3.044522437723423,3.044522437723423,0.0
1029500,中华三国志 the Three Kingdoms of China,2019-03-30,0,中三之家,中三之家,windows,0,Single-player,Free to Play;Indie;Strategy,Indie;Free to Play;Strategy,0,400,60,0,0,50000-100000,0.0,460,0.8695652173913043,400.0,5.993961427306569,6.133398042996649,0.0
1029970,Dig Deep,2019-03-08,1,Flippancy Studio,Flippancy Studio,windows;mac,0,Single-player,Action;Casual;Indie,Action;Indie;Casual,0,28,0,0,0,0-20000,0.0,28,1.0,28.0,3.367295829986474,3.367295829986474,0.0
1030240,Dino Tour VR,2019-02-26,1,SIMSREALITY,SIMSREALITY,windows,0,Single-player,Adventure;Free to Play;Simulation,Free to Play;Adventure;Simulation,0,4,3,0,0,0-20000,0.0,7,0.5714285714285714,4.0,1.6094379124341005,2.079441541679836,0.0
1030730,VIP Shuttle,2019-04-11,1,Eliser Wiedemann;Sascha Rushing,Phaenom GmbH,windows,0,Single-player,Simulation,Simulation;VR,0,2,3,0,0,0-20000,0.0,5,0.4,2.0,1.0986122886681098,1.791759469228055,0.0
1031110,Unroaded,2019-03-06,1,Dihen,Dihen,windows,0,Single-player;Steam Achievements,Casual;Free to Play;Indie,Free to Play;Indie;Casual,5,93,5,0,0,0-20000,0.0,98,0.9489795918367347,93.0,4.543294782270004,4.59511985013459,0.0
1031140,The Horus Heresy: Legions,2019-03-28,1,Everguild Ltd.,Everguild Ltd.,windows;mac,0,Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases,Free to Play;Strategy,Free to Play;Strategy;Card Game,24,155,65,0,0,50000-100000,0.0,220,0.7045454545454546,155.0,5.049856007249537,5.3981627015177525,0.0
1031700,Survivor,2019-04-22,1,Reija Meriläinen,Reija Meriläinen,windows;mac,0,Single-player,Adventure;Free to Play;Indie,Adventure;Indie;Free to Play,0,32,9,0,0,0-20000,0.0,41,0.7804878048780488,32.0,3.49650756146648,3.737669618283368,0.0
